Genes (Variables) ,Aged,APP,DAM 1,DAM 2,Microglía AQP4 AC neonatal,MgnD,WAM,LDAM,CD11c,PAM,ATM
Spp1,1,0.542429717477134,1,0.979861496662713,1,1,0.658464180916281,-0.503794977246479,0.848994849984669,1,1
Gpnmb,0.433015498946762,1,0.385751042500081,0.899947582405052,0.593451219283979,1.15399162255327,0,0,1,0.73105914490063,0.501418690142906
Atp6v0d2,0.00170082548249877,0.390812439438061,0,1,0.568655008784284,0.684143949632892,0.428314947421702,0.122649638388553,0.926962223523489,0.208740292456222,0.1439877749819
Ccl9,-0.0842970400717393,-0.0993631445241556,0.276254071320279,0.0208953766636182,0.381052152262165,0.0298736780716811,0,-0.0158963788798264,0.220080521860884,0.157983439438371,0.258752051025854
Gpr34,-0.0944694257998784,-0.102118664862638,-0.235390016950685,-0.124671028258247,0.324909185591995,-0.0333405791678936,0.0778424179394577,0.0155028452837268,-0.038958744817498,0,-0.245221077095234
Fus,0.0571437771399388,0.0129339465635875,0.217314042633456,-0.0846576133154498,0.40472014815075,-0.0459612722842556,0,-0.305776459910013,-0.0682024679219445,0,-0.159355966965511
Olfml3,-0.0772376964944316,-0.0938235814777406,-0.0360316079261845,-0.0993351666707426,0.311803823971466,0.0898979204664728,1,-0.0760646090323263,-0.0707240129471191,0,-0.205295297667432
Bcl2a1b,0,0,0.108846041421739,0.181540011563558,0.307597865324509,0.210533958406671,0,0.0495080494524254,0.0708229922219034,0,0
Retsat,-0.0414513555951042,0.0541766415385827,-0.264134471170455,0.0596963494799501,0.305955579799497,0.142556741323013,0,-0.010375875697862,0.0756372693514149,0,0
Fcgr3,-0.0444950618612355,-0.0540806839432697,-0.0337188033726133,0.032823177852392,0.28705072759119,0.102890074594824,0,0.119323167025821,0.0678353871486642,0,0
Plek,0.0933362480673962,0.119608471816742,0.112790540537647,0.057882579007469,0.285165281064316,0.191886471502347,0,0.0702533082857026,0.114926124885857,0.32387416671917,0.106784131681583
Mpeg1,0,0,0.230638141687738,0.122572337667163,0.284100479463466,0.241033842002389,0,-0.359003337596209,0.103056272636997,0,0.160164583995642
Ccl3,0.873685584581199,0.0113713798397217,0.890370829149987,0.576069301333158,0.278389478745776,0.376088063293076,0,-0.085326151834533,0.145151424394064,0.229336408778052,0
Tlr7,0.000586299723725943,-0.0280552621452376,-0.0955124666914184,-0.0712361593731448,0.260414831836584,0.0206414255026764,0,-0.0401569333041478,0.0196561888247377,0.0938756514721202,0
