Genes (Variables) ,Aged ,APP ,DAM 1,DAM 2,MgnD,Microglía AQP4 CC neonatal,Microglía AQP4 AC neonatal,WAM,LDAM,CD11c,PAM,ATM
Gpnmb,0.433015498946762,1,0.382354363794249,0.866579595958738,1,0.565973203218541,0.593451219283979,0,0,1,0.73105914490063,0.501418690142906
Spp1,1,0.542429717477134,0.991194635058356,0.943530486080375,0.866557417277816,1,1,0.332158105005992,-0.503794977246479,0.848994849984669,1,1
Atp6v0d2,0.00170082548249877,0.390812439438061,0,0.962922300033141,0.592850014040123,0.672758322081299,0.568655008784284,0.216060775065033,0.122649638388553,0.926962223523489,0.208740292456222,0.1439877749819
Ccl3,0.873685584581199,0.0113713798397217,0.882530789065927,0.554709976618209,0.325901900796264,0.563478218909212,0.278389478745776,0,-0.085326151834533,0.145151424394064,0.229336408778052,0
Lyz2,0,0,0.358803313064519,0.265199450315705,0.383774997207377,0.507435805715734,0.203852571522013,1,0.127594927229609,0.307762097437386,-0.268460473632501,0.258838902669096
Clec7a,0.690422553963311,0.544984569699703,0.868317246102875,0.688990607016346,0.602532264308638,0.462759347012417,0.212583140682946,0.158667321059534,-0.247916917941719,0.535997787389454,0.211959814251632,0
Hpse,0.101600134217603,0.601923034486515,0.175778125165969,1,0.989322613355397,0.344562550851233,0.233459552462974,0,0,0.577700151915469,0.326996137126785,0.181715723498329
Tlr7,0.000586299723725943,-0.0280552621452376,-0.0946714445657239,-0.068594886429116,0.0178869803725317,0.316930931993315,0.260414831836584,0,-0.0401569333041478,0.0196561888247377,0.0938756514721202,0
Vav1,0.187202318427366,0.0207022181406,0.137284031571696,0.0950608450466702,-0.0376199881773062,0.275110377254975,0.213000165978349,0,-0.0382514901469243,-0.0203893852770964,0,0
Cd68,0.0172840149661277,0.164359395784223,0.180859802365004,0.19437595667803,0.273982065651817,0.331132977640092,0.221501655641706,,0.0287942640725391,0.051547772704567,0.230391076856684,0.143157410290492
